Name,Creator,Provider,Organization,Keywords,Description,Area,Version,Valid From,Ending on,Superseded by,Permissions,License,Conforms To,Base URL,Docs URL,OAS URL
name (https://schema.org/name),creator (https://schema.org/creator),provider (https://schema.org/provider),Organization (https://schema.org/Organization),keywords (https://schema.org/keywords),description (https://schema.org/description),serviceArea (https://schema.org/serviceArea),version (https://schema.org/version),startDate (https://schema.org/startDate),endDate (https://schema.org/endDate),supersededBy (https://schema.org/supersededBy),hasDigitalDocumentPermission (https://schema.org/hasDigitalDocumentPermission),license (https://schema.org/license),conformsTo (https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/conformsTo/),URL (https://schema.org/URL),URL (https://schema.org/URL),URL (https://schema.org/URL)
The name of the API,The owner / custodian of the API - should include contact details,Business unit responsible for the API,Department / Agency of Government,Keywords for search,Description of the API,Specifies geographic area the API provides information for / from.,Version number of the API,Date the API becomes / became useable,Date API expires or is superceded by another data source,Defines another API which replaces this one.,Defines access rights for the data source.,License for access to / use of the API,Specifies standards adhered to - including API / DX format,Endpoint URL. Can be ommitted if deemed necessary - entry should include contact details to begin request for acess,Documentation URL. Can be ommitted if necessary for security considerations,Link to OpenAPI Spec - can be ommitted as above; but if included the API Catalogue can import and display the info from a YAML
Required,Required,Optional,Required,Required,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,"Required (see above, substitution accepted)","Required (see above, substitution accepted)",Optional
,,,,,,,,,,,,,,,,
OS Maps API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"maps api, static maps, embed web map, gis data, open data, geospatial data","Add Ordnance Survey’s detailed maps to your GIS, web or mobile applications with ease and make location-based decisions with confidence. Available in four styles, two projections and two access methods, OS Maps API gives unrivalled geographic context to your data.

You can access these maps via OGC standard WMTS or RESTful ZXY.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"OGC WMTS, RESTful ZXY, png","https://api.os.uk/maps/raster/v1/wmts, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/wmts/overview,
OS Vector Tile API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"vector api, map tile api, vector tiles, gis data, open data","Slick, quick vector maps.

Integrate Ordnance Survey’s up-to-date, detailed maps in your applications, enabling you to make location-based decisions with confidence. You can customise the content and style to make your perfect map.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, pbf","https://api.os.uk/maps/vector/v1/vts, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/vts/overview,
OS Names API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"search, geocoding api, geospatial data, place names, postcodes, roads, open data","A free, searchable, reliable database to help you find and verify populated places, road names, road numbers and postcodes.

OS Names API is a reliable way of supporting the discovery or identification and visualisation of a named place; geocoding; routing and navigation, and linking diverse information such as statistics or descriptions. OS Names can locate a feature using just its name, or it can find the closest location to a given point.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, JSON","https://api.os.uk/search/names/v1, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/names/overview,
OS Features API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"gis data, geospatial data, geospatial open data, api, ","Buildings, roads, greenspaces and much more.

Get direct access to the most detailed geographic data for your analysis, taking full advantage of rich geometries and attributes to generate new insight. No need to download, store and manage large and complex datasets, we take care of that so you can focus on adding value.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"OGC WFS, GML, GeoJSON","https://api.os.uk/features/v1/wfs, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/wfs/overview,
OS Linked Identifiers API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"identifiers, gis data, open data, geospatial data","The OS Linked Identifiers API allows users to access the valuable relationships between properties, streets and OS MasterMap identifiers for free.

An identifier is a unique reference assigned to a specific thing, so when you are talking to someone else you can use it to ensure you’re talking about the same thing. They are used all the time, such as telephone numbers, postcodes and customer reference numbers. OS is striving to make its identifiers more accessible and useful for its customers.

The OS Linked Identifiers API takes this further by enabling the linking together of datasets that are using different identifiers; for example, linking a property address (UPRN - Unique Property Reference Number) to the street that it is on (USRN - Unique Street Reference Number).",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, JSON","https://api.os.uk/search/links/v1, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/linkedIdentifiers/overview,
OS Download API,Ordnance Survey - michael.gordon@os.uk,,Ordnance Survey,"gis data, open data, geospatial data, bulk download","The OS Downloads API is a service that lets users automate the discovery and download of OS OpenData. In doing so it improves the accessibility of the OS OpenData products.

Using the OS Downloads API,

You can:

Discover which OS OpenData is available.
Automate the download of OS OpenData.
Request various coverage areas depending on the dataset.
Request various formats depending on the dataset.
Request metadata on available datasets including thumbnail images.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, JSON",https://api.os.uk/downloads/v1,https://osdatahub.os.uk/docs/downloads/overview,https://api.os.uk/downloads/v1/openapi.yaml
