dateAdded,dateUpdated,uuid
2020-01-08,2020-08-24,94d39f60-84f8-45f6-a312-b8fb2823dc40
2020-01-08,2020-08-24,270253ce-c224-4cdb-b8c5-e027f63ba846
2020-01-08,2020-08-24,8f0bca3b-d6ed-4dbf-8ec2-bf58b87da92c
2020-01-08,2020-08-24,d6aebb5b-84b0-4adc-84f8-05cbefd3c7fd
2020-01-08,2020-08-24,8da9c21a-6cfe-4933-ae0f-0d4fd36d364a
2020-01-08,2020-08-24,0aa7b1fd-d860-4f75-8e0c-239e506e2403
2020-01-08,2020-08-24,5a997133-5114-4b58-9341-275fb8913984
2020-01-08,2020-08-24,fb23017c-85a2-4fbd-a6b7-4cac9197613b
2020-01-08,2020-08-24,67814476-5d81-43b4-b606-2215987a9e0f
2020-01-08,2020-08-24,720144f1-2adb-496e-8c73-a8443095a022
2020-01-08,2020-08-24,b3d349db-8b35-4281-895b-eb7867fcb853
2020-01-08,2020-08-24,aab1d0cd-d087-4e0a-bd8d-29120ce7bd07
2020-01-08,2020-08-24,1c2b627f-82e8-4b19-95f8-2e58c0ccaf39
2020-01-08,2020-08-24,a72850dd-decf-4e6a-8196-91b24da8911c
2020-01-08,2020-08-24,4ea7a421-1a1c-4a7d-ab98-a695b9639f37
2020-01-08,2020-08-24,562652ae-5038-4f57-a47d-c6388c019eb1
2020-01-08,2020-08-24,308c96f8-3238-47bc-857f-8b7eb4d73722
2020-01-08,2020-08-24,684c5b36-2f40-4943-8f40-05f0559d2dd8
2020-08-24,2020-08-24,e1462514-bb86-4950-b50d-b928b1f99f4a
2020-08-24,2020-08-24,7de1a246-5b54-4cf4-bc54-de933f10985d
2020-08-24,2020-08-24,75ecb4a0-8266-42d5-ae00-7779061bd307
2020-08-24,2020-08-24,ec57c3ab-4234-4d95-86fb-dca9e5047432
2020-08-24,2020-08-24,bf555630-e8bc-4db3-8524-f3f9dfdaa2bd
2020-08-24,2020-08-24,1ea13f4e-fb75-429f-a040-9cc017f37a16
2020-08-24,2020-08-24,974ba79d-d645-41b0-8727-d0f5d9f75e3c
2020-08-24,2020-08-24,312b37ce-9381-4b63-bd45-9f8139d3049a
2020-08-25,2020-08-25,7b6ac61d-0f34-46d3-9137-b1a601d20b03
2020-08-25,2020-08-25,955c2112-065b-4082-81ea-90b66eb5aaa2
2020-08-25,2020-08-25,ed4d3970-a7ff-45bf-b1d1-ee19b19d2a10
2020-08-25,2020-08-25,044b88d2-5649-4de1-8337-63e72fb757e9
